item,claimed,verified,evidence_type,files_checked,commands_run,result,risk_level,blocker,notes
repo_structure,"6-module AML pipeline with frontend + backend + deploy",TRUE,file_listing,"find -maxdepth 3","find | sort",PASS,low,no,"All claimed directories exist: api/ pipeline/ features/ models/ services/ tests/ infra/aws/ .github/workflows/"
architecture_docs,"18 docs covering model card + evaluation + runbook + graph recovery",TRUE,file_read,"docs/*.md","ls docs/",PASS,low,no,"18 markdown docs exist in docs/. Content cross-checked against code."
source_ingestion,"HTTP-only source client with PostgREST auto-detect + pagination",TRUE,code_inspection,"source_client.py pipeline/transformers.py","read source_client.py",PASS,low,no,"httpx-based client. Auto-detects PostgREST OpenAPI schema. Paginated fetch for both v1 and PostgREST modes."
canonical_schema,"Raw -> canonical normalization with dedup + type coercion",TRUE,code_inspection,"pipeline/normalize.py db/schema.py","read normalize.py schema.py",PASS,low,no,"11 raw tables normalized to canonical. Dedup by primary key. Time columns coerced to UTC. Quality issues logged."
amount_scaling,"Fixed-point 1e8 scaling in transformers.py",TRUE,code_inspection,"pipeline/transformers.py","read transformers.py",PASS,low,no,"scale_fixed_1e8() divides by 1e8. Used for ori_samount twd_srate trade_samount currency_samount."
lineage_traceability,"sync_run_id + loaded_at on raw tables",TRUE,code_inspection,"db/schema.py pipeline/sync_source.py","read schema.py",PASS,low,no,"Raw tables have _sync_run_id and _loaded_at columns. ops.sync_runs tracks each sync run."
M1_rules,"11 deterministic rules with severity weighting",TRUE,code_inspection,"models/rule_engine.py","read rule_engine.py",PASS,medium,no,"11 rules: 5 velocity/flow 2 device/IP 3 graph/relational 1 peer-deviation. Graph-dependent rules always False under trusted_only=True."
M2_behavior_stats,"Peer-deviation features + cohort percentile ranks",TRUE,code_inspection,"features/build_features.py","read build_features.py",PASS,medium,no,"_add_peer_deviation_features() computes peer_pct ranks within kyc_level cohort. 8 metric columns ranked."
M3_supervised,"LightGBM with temporal split + leakage guard",TRUE,code_inspection,"models/train.py models/common.py models/validate.py","read train.py common.py validate.py",PASS,medium,no,"forward_date_splits() implements 70/15/15 temporal split. training_dataset() joins with positive_effective_date leakage guard."
M4_anomaly,"IsolationForest trained on training split",TRUE,code_inspection,"models/anomaly.py","read anomaly.py",PASS,low,no,"IsolationForest(n_estimators=200). Trained on train split only."
M5_graph,"NetworkX graph with trusted_only mode",TRUE,code_inspection,"features/graph_features.py config.py","read graph_features.py config.py",PASS,medium,no,"graph_trusted_only defaults to True. Unsafe features zeroed. Only fan_out_ratio shared_wallet/bank_count computed."
M6_explain_ops,"SHAP explain + diagnosis + drift + alert engine + refresh",TRUE,code_inspection,"services/*.py pipeline/refresh_live.py","read all services/*.py",PASS,low,no,"All 5 operational services implemented and wired into API endpoints."
M0_dormancy_baseline,"Dormancy baseline documented as PR-AUC=0.9823",TRUE,doc_inspection,"docs/DORMANCY_BASELINE.md docs/MODEL_CARD.md","read DORMANCY_BASELINE.md",PASS,low,no,"Dormancy baseline documented as honest primary signal. All modules compared against it."
refresh_incremental,"Watermark-based incremental refresh with no-op + targeted rebuild",TRUE,code_inspection,"pipeline/refresh_live.py","read refresh_live.py",PASS,low,no,"Full watermark state management. No-op when current<=prior watermark. Derives affected_user_ids."
watermark_state,"ops.refresh_state table with pipeline_name primary key",TRUE,code_inspection,"pipeline/refresh_live.py db/schema.py","read refresh_live.py schema.py",PASS,low,no,"_read_refresh_state and _write_refresh_state manage watermark. Schema defines refresh_state table."
no_op_refresh,"Returns success with no_op=True when no new data",TRUE,code_inspection,"pipeline/refresh_live.py","read refresh_live.py",PASS,low,no,"Two no-op paths: (1) no source data (2) current <= prior watermark."
targeted_refresh,"Only affected users rebuilt via _derive_affected_user_ids",TRUE,code_inspection,"pipeline/refresh_live.py","read refresh_live.py",PASS,low,no,"SQL union across 5 canonical tables. Only target_user_ids passed to feature builders."
logging_instrumentation,"_stage_marker() logs elapsed time + metrics at each stage",TRUE,code_inspection,"pipeline/refresh_live.py","read refresh_live.py",PASS,low,no,"8 stage markers with elapsed_s and contextual metrics."
local_tests,"78 tests pass",TRUE,test_execution,"tests/*.py","pytest tests/ -q --tb=short",PASS,low,no,"78 passed in 27.90s. 0 failures."
local_reproducibility,"Makefile targets cover full pipeline + tests",TRUE,code_inspection,"Makefile","read Makefile",PASS,low,no,"17 Makefile targets covering full lifecycle."
frontend_ops_surface,"Next.js frontend with dashboard + API integration",TRUE,file_listing,"bitoguard_frontend/","ls bitoguard_frontend/",PASS,low,no,"Next.js 16 App Router. Dockerfile exists. Build artifacts present."
packaging,"Dockerfile + compose.yaml + requirements.txt",TRUE,code_inspection,"Dockerfile compose.yaml requirements.txt","read Dockerfile compose.yaml",PASS,low,no,"Python 3.12-slim base. libgomp1 for LightGBM. Health check."
docker_build_path,"Dockerfile builds from repo root context",TRUE,code_inspection,"Dockerfile compose.yaml","read Dockerfile compose.yaml",PASS,low,no,"Build context is repo root."
ci_workflow,"GitHub Actions CI with test + lint + docker build + deploy",TRUE,code_inspection,".github/workflows/ci.yml","read ci.yml",PASS,low,no,"3 jobs: test-core lint-frontend docker-build. deploy-aws is manual trigger only."
aws_infra_scaffolding,"ECS Fargate task defs + IAM trust/policy + ECR/EFS config",TRUE,file_inspection,"infra/aws/*.json","read task-def-*.json",PASS,low,no,"3 task definitions. IAM trust + policy files. EFS volume mount. Health checks."
aws_docs,"RUNBOOK_AWS.md with full deployment guide + cost estimate",TRUE,doc_inspection,"docs/RUNBOOK_AWS.md","read RUNBOOK_AWS.md",PASS,low,no,"Architecture diagram. Setup commands. Cost estimate ~$78/month."
secrets_config,"No hardcoded secrets. Env vars via .env.compose.example",TRUE,grep_scan,"all files","grep for secrets patterns",PASS,low,no,"No hardcoded secrets found."
model_claims_honesty,"Dormancy caveat documented. Artifacts A1-A7 documented. Module statuses honest.",TRUE,doc_inspection,"docs/MODEL_CARD.md docs/EVALUATION_REPORT.md docs/RELEASE_READINESS_CHECKLIST.md","read all model docs",PASS,low,no,"Explicit data artifact warnings. RELEASE_READINESS marks M1=FAIL M2=FAIL M3=FAIL M5=QUARANTINED."
release_docs_honesty,"RELEASE_READINESS_CHECKLIST explicitly lists what system cannot do",TRUE,doc_inspection,"docs/RELEASE_READINESS_CHECKLIST.md","read RELEASE_READINESS_CHECKLIST.md",PASS,low,no,"Cannot Do section lists 6 invalid claims."
production_safe_defaults,"graph_trusted_only=True by default. CORS defaults to localhost:3000",TRUE,code_inspection,"config.py","read config.py",PASS,low,no,"All unsafe graph features zeroed by default."
